column_a,total_users,average_keyword_repetition
0-100,26372,1.666691946003337
100-500,38131,1.548267813589992
500-1000,18206,1.345106009008019
1000-5000,21086,1.472920421132505
5000-10000,2999,1.611203734578193
10000-50000,3159,1.57866413421969
50000-100000,524,1.820610687022901
>100000,693,1.691197691197691
