picture_url,repeats
http://pbs.twimg.com/ext_tw_video_thumb/725550741675499520/pu/img/ZvuotYN3zL8a__TP.jpg,38
http://pbs.twimg.com/media/ChLJgNBUkAABXcV.jpg,36
http://pbs.twimg.com/media/ChLQ64VXEAEexEX.jpg,35
http://pbs.twimg.com/media/ChLbnShU8AApMsE.jpg,35
http://pbs.twimg.com/media/Cg_wyejXEAY7VrC.jpg,34
http://pbs.twimg.com/media/ChIskrXWUAIbZ1_.jpg,33
http://pbs.twimg.com/media/ChLEHh5W0AAcURD.jpg,32
http://pbs.twimg.com/ext_tw_video_thumb/725829750510346240/pu/img/9vU4LX0eYX7PwMOR.jpg,32
http://pbs.twimg.com/media/ChLc47QUgAEzQUN.jpg,32
http://pbs.twimg.com/media/Cg9W1xKW4AQCBae.jpg,32
http://pbs.twimg.com/media/ChLbhudUgAELyK2.jpg,31
http://pbs.twimg.com/media/ChLsJ3LVEAYCHwd.jpg,31
http://pbs.twimg.com/media/ChLbn4aUYAAYrK7.jpg,31
http://pbs.twimg.com/ext_tw_video_thumb/725932165368705025/pu/img/aBoC0fxF88_XBPnq.jpg,31
http://pbs.twimg.com/media/ChIjn4aUYAAxrpU.jpg,31
http://pbs.twimg.com/ext_tw_video_thumb/725741101156470784/pu/img/gsa5odJpfrHT4bH1.jpg,31
http://pbs.twimg.com/media/ChLXlBSUkAEYOTA.jpg,30
http://pbs.twimg.com/media/ChIYDRMWUAA6pCQ.jpg,30
http://pbs.twimg.com/media/ChJgj-TUoAARHsr.jpg,30
http://pbs.twimg.com/media/ChIVRwqUgAAS7wF.jpg,29
http://pbs.twimg.com/media/ChLlU5dW0AAKAFh.jpg,29
http://pbs.twimg.com/media/ChJ1aKLWMAAc1Ma.jpg,29
http://pbs.twimg.com/media/CgUvIkjWwAAMHRw.jpg,29
http://pbs.twimg.com/media/ChKu2qhW0AE-xuH.jpg,28
http://pbs.twimg.com/media/ChKZGi5U4AATMrW.jpg,28
http://pbs.twimg.com/media/ChLtg3JVEAETZS0.jpg,28
http://pbs.twimg.com/media/ChKEYvQWkAE8daH.jpg,28
http://pbs.twimg.com/media/ChIxcM_WMAAryQD.jpg,28
http://pbs.twimg.com/media/ChJK9VLUYAI6v6o.jpg,27
http://pbs.twimg.com/media/ChLrmMhUkAAHhjy.jpg,27
http://pbs.twimg.com/media/ChFbI3xU8AA7qX2.jpg,27
http://pbs.twimg.com/media/ChJZ3K0WIAAF6TW.jpg,27
http://pbs.twimg.com/media/CcSpp0eWIAABRSl.jpg,27
http://pbs.twimg.com/media/ChGyMwBU0AAHCVh.jpg,26
http://pbs.twimg.com/media/ChLr52dU4AAUypw.jpg,26
http://pbs.twimg.com/ext_tw_video_thumb/725805411316731908/pu/img/PO7NXdTg_u51yfy1.jpg,26
http://pbs.twimg.com/media/ChJ4DOTVEAAb5zy.jpg,25
