user_name,nickname,bio_content,followers,following,keyword_repetitions,follower_following_ratio,total_favs,total_lists
Goefra Qainqe,Goefra__Qainqe,"Music,sports,photografy,travel,shopping,internet",181,,71,181,,1719
Брильков Денис,salon_apple,"В политике, как и в торговле, необходимо иметь доброе имя. Ни в той, ни в другой обманывать много раз невозможно",1488,265,71,5.615094339622641,184,18
Keuyhe Taobbe,Keuyhe__Taobbe,"Music,sports,photografy,travel,shopping,internet",125,,71,125,,1551
Paessi Woinda,Paessi__Woinda,"Music,sports,photografy,travel,shopping,internet",110,,71,110,,1307
Apple Support,AppleSupport,"We’re here to provide tips, tricks and helpful information when you need it most. We’re available every day to answer your questions, from 5am-8pm Pacific.",300200,18,71,16677.77777777778,3,2171
Geosti Zooyge,Geosti__Zooyge,"Music,sports,photografy,travel,shopping,internet",87,,70,87,,1310
Baozci Goucgo,Baozci__Goucgo,"music,sports,photografy,travel,shopping,internet",143,,70,143,,1623
助手@りんご,Lie_Apple,"あーんどぅーぶるぁぁあ！！
◆うちのこまとめ【https://t.co/pK1sAeImt2】",244,286,69,0.8531468531468531,3974,22
Muansi Poitxa,Muansi__Poitxa,"Music,sports,photografy,travel,shopping,internet",133,,67,133,,1909
Leityu Maonxo,Leityu__Maonxo,"Music,sports,photografy,travel,shopping,internet",98,,67,98,,2172
IPHONE DEALS,sh_fzs_123,"#iphone #apple #mac",84,30,67,2.8,,31
Apples Bot,its_apple_time,If this bot says anything naughty I will punish it.  I do not support naughtiness of any kind.,9,,66,9,,25
Puoddo Moegje,Puoddo__Moegje,"music,fashin,shopping,internet,travel",195,,66,195,,2452
Nealra Puifpa,Nealra__Puifpa,"Music,sports,photografy,travel,shopping,internet",130,,66,130,,1918
Wiemdi Biivgi,Wiemdi__Biivgi,"Music,sports,photografy,travel,shopping,internet",258,,66,258,,2516
Vaahqi Yeigdi,Vaahqi__Yeigdi,"Music,sports,photografy,travel,shopping,internet",106,,66,106,,1622
Xeeffa Qeaxca,Xeeffa__Qeaxca,"Music,sports,photografy,travel,shopping,internet",35,,65,35,,885
Geojjo Taaqba,Geojjo__Taaqba,"sport , music, fashion, internet, shopping",227,,65,227,,2760
Nausfu Qeulne,Nausfu__Qeulne,"Music,sports,photografy,travel,shopping,internet",94,,65,94,,1665
Unlocked iPhone Sold,iPhoneUnlocked9,"Top 10 #Bestseller, Most Watched/Popular Unlocked #iPhone on eBay Right Now.  #Apple #iPhone5 #iPhone4 #iPhone3 #Onsale #Auction",936,376,65,2.48936170212766,10,67
Vuamvi Tiazde,Vuamvi__Tiazde,"Music,sports,photografy,travel,shopping,internet",81,,65,81,,1572
Caaqmu Zieydo,Caaqmu__Zieydo,,209,,65,209,,2583
IPHONE HERE,sh_fzs_100,"#iphone #apple #mac",85,17,64,5,,30
Daidlo Teopgu,Daidlo__Teopgu,"Music,sports,photografy,travel,shopping,internet",94,,64,94,,1353
白猫ガチャ研究所,shironekogatya,,10960,907,64,12.08379272326351,1,116
ドカバトガチャ研究所,dokabatogatya,ドカバトのガチャ結果と確率を研究しています。,988,860,64,1.148837209302326,,2
痛撃5s3くださいbot,apple_mhx335,"MHX(HR270～)MH4G(HR999)
アイコンはFF様より",181,182,64,0.9945054945054945,4494,12
Wiislo Juipji,Wiislo__Juipji,"Music,sports,photografy,travel,shopping,internet",52,,63,52,,1090
Hainba Seirye,Hainba__Seirye,"Music,sports,photografy,travel,shopping,internet",81,,63,81,,1300
highly plushest item,quntanalaureano,highly plushest items,76,40,63,1.9,,27
Haahze Cuekdu,Haahze__Cuekdu,"Music,sports,photografy,travel,shopping,internet",56,,63,56,,769
Daoxvi Joajna,Daoxvi__Joajna,"Music,sports,photografy,travel,shopping,internet",140,,62,140,,1865
Weacri Maewyo,Weacri__Maewyo,"Music,sports,photografy,travel,shopping,internet",141,,62,141,,1683
Tuewsi Hiahsu,Tuewsi__Hiahsu,"Music,sports,photografy,travel,shopping,internet",96,,61,96,,1672
Faisso Peerxe,Faisso__Peerxe,"Music,sports,photografy,travel,shopping,internet",75,,61,75,,1295
Seupdi Viufma,Seupdi__Viufma,"Music,sports,photografy,travel,shopping,internet",73,,61,73,,1204
Moepsu Dianpi,Moepsu__Dianpi,,144,,61,144,,1870
Waundo Geoxwe,Waundo__Geoxwe,"Music,sports,photografy,travel,shopping,internet",64,,61,64,,1118
Peanji Loogja,Peanji__Loogja,"Music,sports,photografy,travel,shopping,internet",113,,61,113,,1890
Huepdo Dioygi,Huepdo__Dioygi,"Music,sports,photografy,travel,shopping,internet",57,,61,57,,972
Wiobmo Giofra,Wiobmo__Giofra,"Music,sports,photografy,travel,shopping,internet",130,,60,130,,1765
rima,rimairama24,,7279,59,60,123.3728813559322,,29
Giantshopper.com ,giantshoppercom,"Online shopping comparison site. We offer the best deals from 1,000 of retailers online! check us out!",508,1398,60,0.3633762517882689,1,48
Gaebxu Tiifca,Gaebxu__Tiifca,"Music,sports,photografy,travel,shopping,internet",119,,60,119,,1467
Naocme Piojwi,Naocme__Piojwi,"music,sports,photografy,travel,shopping,internet",108,,59,108,,1876
Siadki Koutfi,Siadki__Koutfi,"Music,sports,photografy,travel,shopping,internet",113,,59,113,,1905
Earthquake Mobile,earthquakeapp,,576,36,59,16,,61
EhsanOffers,EhsanOffers,,260,37,59,7.027027027027027,1,49
Xuexji Juegro,Xuexji__Juegro,"Music,sports,photografy,travel,shopping,internet",113,,59,113,,1590
